Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,700
Conversion Gain:,2048
Coarse Gain:,2
Fine Gain:,1.10
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,410.43
Elapsed Live Time:,409.47
Start Time:,October 06, 2023, 12:31:59
End Time:,October 06, 2023, 12:38:49
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,3
28,,29
29,,22
30,,32
31,,32
32,,31
33,,37
34,,30
35,,29
36,,24
37,,43
38,,38
39,,45
40,,56
41,,37
42,,64
43,,51
44,,64
45,,78
46,,66
47,,85
48,,114
49,,97
50,,129
51,,119
52,,135
53,,173
54,,176
55,,189
56,,190
57,,208
58,,165
59,,159
60,,154
61,,143
62,,153
63,,137
64,,102
65,,101
66,,105
67,,92
68,,81
69,,83
70,,74
71,,80
72,,94
73,,74
74,,84
75,,59
76,,81
77,,72
78,,78
79,,72
80,,85
81,,72
82,,87
83,,87
84,,60
85,,70
86,,74
87,,84
88,,84
89,,74
90,,70
91,,89
92,,86
93,,85
94,,84
95,,96
96,,78
97,,101
98,,97
99,,96
100,,84
101,,79
102,,86
103,,77
104,,71
105,,74
106,,96
107,,115
108,,84
109,,96
110,,87
111,,108
112,,91
113,,99
114,,109
115,,117
116,,127
117,,99
118,,124
119,,108
120,,133
121,,139
122,,120
123,,119
124,,147
125,,140
126,,154
127,,162
128,,154
129,,182
130,,146
131,,153
132,,147
133,,168
134,,184
135,,182
136,,174
137,,165
138,,193
139,,191
140,,210
141,,185
142,,186
143,,172
144,,162
145,,191
146,,192
147,,200
148,,178
149,,207
150,,209
151,,173
152,,182
153,,188
154,,172
155,,191
156,,148
157,,201
158,,165
159,,176
160,,155
161,,166
162,,168
163,,175
164,,156
165,,156
166,,137
167,,151
168,,127
169,,171
170,,143
171,,136
172,,106
173,,132
174,,130
175,,123
176,,123
177,,155
178,,131
179,,122
180,,124
181,,134
182,,127
183,,115
184,,117
185,,116
186,,120
187,,130
188,,112
189,,129
190,,110
191,,111
192,,128
193,,140
194,,125
195,,150
196,,123
197,,119
198,,117
199,,110
200,,135
201,,106
202,,122
203,,106
204,,130
205,,100
206,,108
207,,132
208,,124
209,,126
210,,111
211,,129
212,,121
213,,128
214,,107
215,,99
216,,122
217,,129
218,,94
219,,124
220,,112
221,,120
222,,124
223,,112
224,,124
225,,123
226,,110
227,,120
228,,116
229,,128
230,,131
231,,126
232,,122
233,,101
234,,116
235,,124
236,,121
237,,123
238,,118
239,,119
240,,120
241,,135
242,,126
243,,100
244,,130
245,,95
246,,104
247,,85
248,,115
249,,98
250,,104
251,,98
252,,105
253,,116
254,,115
255,,111
256,,110
257,,95
258,,115
259,,113
260,,110
261,,98
262,,83
263,,110
264,,93
265,,111
266,,103
267,,117
268,,117
269,,87
270,,89
271,,121
272,,96
273,,108
274,,95
275,,97
276,,91
277,,112
278,,94
279,,92
280,,112
281,,93
282,,102
283,,74
284,,116
285,,84
286,,91
287,,93
288,,94
289,,100
290,,98
291,,101
292,,117
293,,101
294,,97
295,,76
296,,93
297,,100
298,,104
299,,98
300,,96
301,,89
302,,94
303,,77
304,,88
305,,107
306,,89
307,,90
308,,99
309,,84
310,,94
311,,82
312,,93
313,,90
314,,81
315,,95
316,,110
317,,97
318,,105
319,,76
320,,95
321,,74
322,,76
323,,90
324,,95
325,,88
326,,96
327,,94
328,,89
329,,93
330,,100
331,,93
332,,97
333,,74
334,,91
335,,98
336,,110
337,,103
338,,95
339,,102
340,,81
341,,96
342,,95
343,,80
344,,73
345,,128
346,,106
347,,90
348,,97
349,,96
350,,94
351,,84
352,,95
353,,103
354,,86
355,,92
356,,84
357,,69
358,,89
359,,122
360,,85
361,,100
362,,90
363,,109
364,,98
365,,84
366,,110
367,,113
368,,122
369,,103
370,,87
371,,79
372,,89
373,,92
374,,99
375,,103
