Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,700
Conversion Gain:,2048
Coarse Gain:,2
Fine Gain:,1.10
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,305.86
Elapsed Live Time:,288.78
Start Time:,October 06, 2023, 12:40:01
End Time:,October 06, 2023, 12:45:07
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,12
1,,3
2,,2
3,,2
4,,4
5,,4
6,,9
7,,6
8,,9
9,,10
10,,12
11,,8
12,,10
13,,8
14,,15
15,,7
16,,18
17,,15
18,,16
19,,27
20,,33
21,,32
22,,22
23,,24
24,,18
25,,16
26,,37
27,,268
28,,608
29,,527
30,,545
31,,544
32,,584
33,,655
34,,752
35,,827
36,,895
37,,955
38,,1121
39,,1275
40,,1501
41,,2043
42,,2637
43,,3258
44,,4307
45,,5484
46,,7214
47,,9587
48,,12670
49,,16874
50,,21769
51,,27295
52,,33171
53,,39484
54,,44598
55,,49136
56,,51147
57,,51380
58,,48804
59,,45446
60,,40335
61,,35039
62,,29456
63,,24204
64,,20146
65,,16870
66,,13634
67,,11149
68,,9278
69,,7348
70,,5837
71,,4631
72,,3612
73,,2756
74,,2283
75,,1752
76,,1449
77,,1204
78,,1016
79,,1054
80,,1033
81,,977
82,,987
83,,1051
84,,1040
85,,1178
86,,1236
87,,1294
88,,1382
89,,1432
90,,1511
91,,1606
92,,1796
93,,1851
94,,1985
95,,2008
96,,2065
97,,2106
98,,2218
99,,2157
100,,2186
101,,2078
102,,2101
103,,2037
104,,2018
105,,1981
106,,1929
107,,1826
108,,1736
109,,1764
110,,1768
111,,1802
112,,2036
113,,2006
114,,2095
115,,2194
116,,2292
117,,2461
118,,2556
119,,2690
120,,2718
121,,2831
122,,2729
123,,2853
124,,2759
125,,2760
126,,2748
127,,2600
128,,2514
129,,2451
130,,2386
131,,2547
132,,2430
133,,2504
134,,2559
135,,2570
136,,2740
137,,2838
138,,2946
139,,3325
140,,3532
141,,4008
142,,4430
143,,4877
144,,5631
145,,6228
146,,6914
147,,7718
148,,8544
149,,9300
150,,10165
151,,10877
152,,11582
153,,12228
154,,12177
155,,12557
156,,12445
157,,12564
158,,12003
159,,11487
160,,10965
161,,10381
162,,9427
163,,8501
164,,7440
165,,6553
166,,5724
167,,5081
168,,4220
169,,3496
170,,2963
171,,2515
172,,2168
173,,1768
174,,1428
175,,1224
176,,1081
177,,936
178,,882
179,,764
180,,687
181,,670
182,,628
183,,617
184,,625
185,,647
186,,633
187,,637
188,,611
189,,605
190,,613
191,,611
192,,601
193,,652
194,,671
195,,668
196,,626
197,,662
198,,700
199,,715
200,,677
201,,763
202,,754
203,,791
204,,821
205,,838
206,,860
207,,898
208,,941
209,,979
210,,1089
211,,1054
212,,1189
213,,1192
214,,1329
215,,1327
216,,1426
217,,1436
218,,1447
219,,1461
220,,1460
221,,1355
222,,1477
223,,1432
224,,1393
225,,1324
226,,1327
227,,1274
228,,1274
229,,1177
230,,1116
231,,1006
232,,968
233,,905
234,,891
235,,853
236,,851
237,,707
238,,761
239,,699
240,,650
241,,646
242,,629
243,,643
244,,540
245,,586
246,,574
247,,595
248,,582
249,,601
250,,600
251,,583
252,,601
253,,612
254,,617
255,,619
256,,573
257,,604
258,,603
259,,637
260,,596
261,,611
262,,666
263,,663
264,,672
265,,628
266,,656
267,,700
268,,663
269,,685
270,,667
271,,741
272,,749
273,,746
274,,733
275,,790
276,,789
277,,761
278,,756
279,,794
280,,804
281,,813
282,,821
283,,861
284,,845
285,,884
286,,854
287,,889
288,,856
289,,845
290,,909
291,,875
292,,869
293,,854
294,,886
295,,867
296,,902
297,,876
298,,877
299,,805
300,,809
301,,864
302,,845
303,,810
304,,812
305,,864
306,,839
307,,757
308,,798
309,,766
310,,793
311,,790
312,,760
313,,765
314,,754
315,,734
316,,734
317,,710
318,,720
319,,703
320,,690
321,,748
322,,674
323,,696
324,,688
325,,666
326,,628
327,,670
328,,672
329,,665
330,,664
331,,691
332,,663
333,,653
334,,632
335,,624
336,,576
337,,643
338,,617
339,,612
340,,628
341,,613
342,,603
343,,596
344,,569
345,,604
346,,601
347,,551
348,,562
349,,621
350,,543
351,,544
352,,574
353,,534
354,,547
355,,562
356,,532
357,,567
358,,521
359,,521
360,,525
361,,507
362,,527
363,,488
364,,502
365,,497
366,,453
367,,433
368,,445
369,,484
370,,417
371,,443
372,,454
373,,441
374,,414
375,,444
376,,404
377,,471
378,,384
379,,398
380,,395
381,,432
382,,412
383,,395
384,,411
385,,396
386,,375
387,,376
388,,407
389,,395
390,,360
391,,388
392,,383
393,,380
394,,348
395,,349
396,,399
397,,364
398,,358
399,,350
400,,329
401,,365
402,,345
403,,332
404,,346
405,,329
406,,325
407,,348
408,,336
409,,329
410,,292
411,,325
412,,309
413,,323
414,,299
415,,280
416,,299
417,,306
418,,273
419,,271
420,,264
421,,273
422,,255
423,,283
424,,235
425,,243
426,,243
427,,273
428,,227
429,,260
430,,266
431,,240
432,,272
433,,230
434,,252
435,,274
436,,257
437,,247
438,,241
439,,271
440,,235
441,,259
442,,225
443,,268
444,,251
445,,275
446,,246
447,,304
448,,266
449,,277
450,,303
451,,305
452,,322
453,,318
454,,332
455,,308
456,,363
457,,332
458,,399
459,,402
460,,398
461,,428
462,,436
463,,431
464,,463
465,,478
466,,472
467,,501
468,,545
469,,515
470,,549
471,,572
472,,556
473,,584
474,,603
475,,622
476,,643
477,,658
478,,700
479,,684
480,,639
481,,724
482,,720
483,,717
484,,760
485,,737
486,,785
487,,726
488,,774
489,,808
490,,804
491,,779
492,,833
493,,808
494,,812
495,,846
496,,883
497,,847
498,,901
499,,921
500,,919
501,,945
502,,953
503,,1019
504,,944
505,,976
506,,989
507,,1028
508,,991
509,,983
510,,1116
511,,1124
512,,1114
513,,1111
514,,1175
515,,1194
516,,1236
517,,1206
518,,1204
519,,1164
520,,1197
521,,1213
522,,1276
523,,1203
524,,1283
525,,1234
526,,1318
527,,1231
528,,1271
529,,1204
530,,1227
531,,1282
532,,1237
533,,1275
534,,1220
535,,1234
536,,1165
537,,1165
538,,1105
539,,1161
540,,1095
541,,1063
542,,1030
543,,1022
544,,990
545,,870
546,,974
547,,911
548,,895
549,,871
550,,863
551,,862
552,,772
553,,791
554,,744
555,,781
556,,736
557,,713
558,,718
559,,663
560,,763
561,,688
562,,734
563,,716
564,,746
565,,760
566,,750
567,,768
568,,773
569,,860
570,,876
571,,925
572,,902
573,,989
574,,992
575,,1074
576,,1108
577,,1193
578,,1208
579,,1368
580,,1359
581,,1381
582,,1482
583,,1569
584,,1592
585,,1652
586,,1778
587,,1812
588,,1922
589,,1978
590,,1986
591,,2086
592,,2108
593,,2191
594,,2270
595,,2378
596,,2334
597,,2390
598,,2581
599,,2619
600,,2599
601,,2619
602,,2760
603,,2866
604,,2784
605,,2752
606,,2979
607,,2837
608,,2841
609,,2892
610,,3063
611,,2953
612,,3031
613,,3082
614,,2926
615,,2924
616,,2935
617,,2917
618,,2887
619,,2941
620,,2871
621,,2844
622,,2835
623,,2750
624,,2679
625,,2577
626,,2619
627,,2462
628,,2506
629,,2475
630,,2340
631,,2348
632,,2233
633,,2286
634,,2233
635,,1961
636,,2001
637,,1972
638,,1882
639,,1874
640,,1766
641,,1772
642,,1739
643,,1681
644,,1588
645,,1545
646,,1544
647,,1484
648,,1458
649,,1329
650,,1366
651,,1324
652,,1247
653,,1201
654,,1222
655,,1092
656,,1144
657,,1107
658,,1035
659,,1064
660,,1041
661,,1039
662,,1054
663,,1062
664,,964
665,,949
666,,951
667,,868
668,,864
669,,881
670,,857
671,,838
672,,807
673,,751
674,,825
675,,832
676,,766
677,,775
678,,735
679,,684
680,,720
681,,662
682,,680
683,,655
684,,602
685,,606
686,,561
687,,548
688,,541
689,,530
690,,498
691,,509
692,,463
693,,484
694,,480
695,,424
696,,409
697,,393
698,,392
699,,382
700,,376
701,,335
702,,341
703,,299
704,,302
705,,307
706,,281
707,,278
708,,293
709,,233
710,,255
711,,208
712,,223
713,,197
714,,220
715,,216
716,,199
717,,206
718,,191
719,,185
720,,171
721,,198
722,,192
723,,184
724,,169
725,,182
726,,195
727,,169
728,,210
729,,186
730,,157
731,,183
732,,182
733,,183
734,,167
735,,167
736,,209
737,,161
738,,201
739,,184
740,,202
741,,190
742,,173
743,,231
744,,168
745,,222
746,,197
747,,225
748,,219
749,,189
750,,175
751,,206
752,,214
753,,185
754,,220
755,,202
756,,186
757,,174
758,,190
759,,225
760,,204
761,,194
762,,185
763,,207
764,,211
765,,189
766,,177
767,,212
768,,189
769,,168
770,,180
771,,175
772,,158
773,,157
774,,152
775,,149
776,,159
777,,127
778,,130
779,,140
780,,146
781,,116
782,,115
783,,90
784,,131
785,,109
786,,102
787,,86
788,,96
789,,80
790,,85
791,,70
792,,93
793,,66
794,,76
795,,60
796,,72
797,,59
798,,71
799,,62
800,,54
801,,56
802,,54
803,,58
804,,36
805,,47
806,,44
807,,46
808,,32
809,,41
810,,30
811,,39
812,,39
813,,32
814,,36
815,,25
816,,29
817,,29
818,,28
819,,39
820,,33
821,,26
822,,22
823,,27
824,,16
825,,20
826,,18
827,,24
828,,17
829,,20
830,,19
831,,26
832,,27
833,,24
834,,18
835,,36
836,,16
837,,18
838,,16
839,,17
840,,15
841,,14
842,,24
843,,19
844,,13
845,,16
846,,17
847,,18
848,,14
849,,11
850,,13
851,,17
852,,14
853,,16
854,,9
855,,8
856,,15
857,,9
858,,13
859,,14
860,,13
861,,10
862,,11
863,,14
864,,9
865,,14
866,,19
867,,7
868,,16
869,,9
870,,10
871,,11
872,,7
873,,11
874,,13
875,,8
876,,12
877,,10
878,,9
879,,9
880,,8
881,,10
882,,10
883,,8
884,,11
885,,9
886,,8
887,,6
888,,7
889,,6
890,,7
891,,14
892,,7
893,,10
894,,10
895,,10
896,,6
897,,4
898,,13
899,,15
900,,7
901,,8
902,,12
903,,7
904,,9
905,,11
906,,10
907,,3
908,,12
909,,7
910,,6
911,,14
912,,6
913,,11
914,,8
915,,13
916,,5
917,,8
918,,6
919,,6
920,,5
921,,6
922,,9
923,,10
924,,14
925,,5
926,,6
927,,4
928,,7
929,,11
930,,8
931,,9
932,,8
933,,8
934,,10
935,,10
936,,10
937,,13
938,,5
939,,3
940,,3
941,,10
942,,10
943,,7
944,,8
945,,9
946,,12
947,,4
948,,6
949,,6
950,,6
951,,14
952,,3
953,,14
954,,4
955,,15
956,,6
957,,6
958,,7
959,,5
960,,5
961,,8
962,,11
963,,11
964,,10
965,,9
966,,7
967,,9
968,,9
969,,6
970,,7
971,,4
972,,10
973,,9
974,,10
975,,5
976,,4
977,,8
978,,11
979,,6
980,,9
981,,8
982,,5
983,,7
984,,7
985,,2
986,,3
987,,9
988,,6
989,,13
990,,9
991,,7
992,,7
993,,5
994,,7
995,,5
996,,5
997,,8
998,,4
999,,6
1000,,11
1001,,9
1002,,8
1003,,8
1004,,10
1005,,12
1006,,5
1007,,4
1008,,7
1009,,6
1010,,6
1011,,9
1012,,6
1013,,8
1014,,6
1015,,5
1016,,10
1017,,5
1018,,8
1019,,10
1020,,6
1021,,7
1022,,5
1023,,6
1024,,8
1025,,10
1026,,8
1027,,6
1028,,5
1029,,8
1030,,13
1031,,13
1032,,9
1033,,9
1034,,9
1035,,7
1036,,5
1037,,6
1038,,10
1039,,6
1040,,6
1041,,8
1042,,5
1043,,5
1044,,6
1045,,3
1046,,9
1047,,5
1048,,5
1049,,7
1050,,5
1051,,6
1052,,9
1053,,6
1054,,7
1055,,11
1056,,7
1057,,4
1058,,5
1059,,7
1060,,7
1061,,10
1062,,5
1063,,9
1064,,10
1065,,7
1066,,5
1067,,8
1068,,5
1069,,3
1070,,8
1071,,1
1072,,6
1073,,5
1074,,4
1075,,7
1076,,7
1077,,2
1078,,3
1079,,7
1080,,4
1081,,9
1082,,2
1083,,7
1084,,4
1085,,8
1086,,6
1087,,5
1088,,6
1089,,11
1090,,5
1091,,6
1092,,9
1093,,3
1094,,4
1095,,2
1096,,8
1097,,7
1098,,2
1099,,3
1100,,9
1101,,10
1102,,4
1103,,5
1104,,1
1105,,4
1106,,2
1107,,9
1108,,2
1109,,3
1110,,8
1111,,2
1112,,3
1113,,10
1114,,8
1115,,4
1116,,5
1117,,3
1118,,2
1119,,8
1120,,2
1121,,5
1122,,10
1123,,5
1124,,5
1125,,3
1126,,5
1127,,1
1128,,7
1129,,8
1130,,12
1131,,2
1132,,8
1133,,7
1134,,5
1135,,3
1136,,9
1137,,6
1138,,6
1139,,10
1140,,2
1141,,4
1142,,4
1143,,7
1144,,3
1145,,4
1146,,2
1147,,3
1148,,4
1149,,4
1150,,4
1151,,5
1152,,5
1153,,3
1154,,5
1155,,4
1156,,4
1157,,3
1158,,4
1159,,6
1160,,4
1161,,2
1162,,1
1163,,4
1164,,3
1165,,6
1166,,8
1167,,1
1168,,10
1169,,4
1170,,6
1171,,5
1172,,5
1173,,7
1174,,8
1175,,6
1176,,4
1177,,5
1178,,5
1179,,6
1180,,3
1181,,5
1182,,4
1183,,5
1184,,8
1185,,4
1186,,3
1187,,7
1188,,5
1189,,5
1190,,8
1191,,6
1192,,4
1193,,1
1194,,2
1195,,3
1196,,5
1197,,6
1198,,6
1199,,4
1200,,2
1201,,5
1202,,3
1203,,2
1204,,5
1205,,1
1206,,4
1207,,2
1208,,2
1209,,2
1210,,8
1211,,5
1212,,2
1213,,6
1214,,2
1215,,3
1216,,3
1217,,2
1218,,3
1219,,6
1220,,0
1221,,4
1222,,4
1223,,5
1224,,3
1225,,2
1226,,9
1227,,6
1228,,4
1229,,1
1230,,5
1231,,3
1232,,2
1233,,2
1234,,4
1235,,5
1236,,3
1237,,2
1238,,4
1239,,7
1240,,4
1241,,4
1242,,3
1243,,3
1244,,2
1245,,1
1246,,4
1247,,3
1248,,4
1249,,6
1250,,0
1251,,4
1252,,4
1253,,1
1254,,4
1255,,4
1256,,1
1257,,2
1258,,1
1259,,6
1260,,4
1261,,2
1262,,1
1263,,5
1264,,0
1265,,1
1266,,4
1267,,9
1268,,5
1269,,1
1270,,5
1271,,0
1272,,1
1273,,1
1274,,5
1275,,4
1276,,4
1277,,4
1278,,3
1279,,2
1280,,3
1281,,3
1282,,3
1283,,3
1284,,3
1285,,1
1286,,3
1287,,5
1288,,7
1289,,3
1290,,3
1291,,3
1292,,4
1293,,3
1294,,6
1295,,3
1296,,3
1297,,1
1298,,5
1299,,3
1300,,1
1301,,1
1302,,0
1303,,2
1304,,5
1305,,3
1306,,0
1307,,4
1308,,3
1309,,4
1310,,3
1311,,5
1312,,4
1313,,7
1314,,8
1315,,1
1316,,1
1317,,2
1318,,3
1319,,5
1320,,1
1321,,4
1322,,4
1323,,3
1324,,2
1325,,2
1326,,2
1327,,5
1328,,4
1329,,1
1330,,2
1331,,0
1332,,2
1333,,0
1334,,2
1335,,2
1336,,1
1337,,4
1338,,3
1339,,5
1340,,3
1341,,7
1342,,5
1343,,3
1344,,5
1345,,4
1346,,2
1347,,3
1348,,2
1349,,2
1350,,4
1351,,1
1352,,3
1353,,3
1354,,5
1355,,3
1356,,3
1357,,3
1358,,4
1359,,2
1360,,5
1361,,0
1362,,2
1363,,2
1364,,2
1365,,6
1366,,1
