Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,700
Conversion Gain:,2048
Coarse Gain:,2
Fine Gain:,1.10
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,302.44
Elapsed Live Time:,301.64
Start Time:,October 06, 2023, 12:51:45
End Time:,October 06, 2023, 12:56:48
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,1
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,1
24,,0
25,,0
26,,0
27,,6
28,,19
29,,4
30,,8
31,,12
32,,10
33,,10
34,,8
35,,18
36,,13
37,,12
38,,27
39,,15
40,,18
41,,15
42,,22
43,,19
44,,21
45,,22
46,,26
47,,25
48,,35
49,,37
50,,47
51,,37
52,,41
53,,53
54,,36
55,,52
56,,52
57,,44
58,,45
59,,52
60,,50
61,,44
62,,44
63,,47
64,,52
65,,46
66,,48
67,,46
68,,43
69,,57
70,,44
71,,40
72,,38
73,,34
74,,55
75,,44
76,,50
77,,40
78,,35
79,,47
80,,36
81,,38
82,,45
83,,46
84,,35
85,,41
86,,35
87,,37
88,,45
89,,35
90,,57
91,,34
92,,33
93,,33
94,,29
95,,43
96,,43
97,,49
98,,48
99,,46
100,,53
101,,45
102,,53
103,,53
104,,56
105,,39
106,,49
107,,57
108,,60
109,,53
110,,69
111,,64
112,,58
113,,63
114,,45
115,,51
116,,62
117,,65
118,,74
119,,64
120,,93
121,,77
122,,78
123,,84
124,,80
125,,106
126,,112
127,,109
128,,111
129,,110
130,,127
131,,128
132,,125
133,,139
134,,148
135,,170
136,,149
137,,166
138,,173
139,,195
140,,182
141,,157
142,,172
143,,170
144,,176
145,,176
146,,161
147,,178
148,,173
149,,169
150,,162
151,,164
152,,165
153,,164
154,,174
155,,186
156,,191
157,,172
158,,189
159,,188
160,,209
161,,216
162,,202
163,,210
164,,198
165,,206
166,,212
167,,210
168,,224
169,,194
170,,216
171,,186
172,,217
173,,214
174,,196
175,,182
176,,181
177,,159
178,,175
179,,155
180,,194
181,,201
182,,150
183,,163
184,,163
185,,144
186,,152
187,,159
188,,153
189,,144
190,,134
191,,152
192,,133
193,,128
194,,133
195,,154
196,,136
197,,188
198,,187
199,,179
200,,203
201,,175
202,,219
203,,226
204,,246
205,,287
206,,299
207,,323
208,,363
209,,449
210,,475
211,,535
212,,600
213,,623
214,,713
215,,755
216,,841
217,,950
218,,1084
219,,1077
220,,1159
221,,1215
222,,1318
223,,1370
224,,1366
225,,1452
226,,1421
227,,1421
228,,1452
229,,1448
230,,1380
231,,1343
232,,1263
233,,1192
234,,1106
235,,1059
236,,996
237,,923
238,,811
239,,791
240,,725
241,,655
242,,591
243,,564
244,,503
245,,469
246,,404
247,,401
248,,359
249,,310
250,,314
251,,277
252,,269
253,,246
254,,221
255,,230
256,,197
257,,197
258,,178
259,,184
260,,166
261,,147
262,,143
263,,161
264,,118
265,,113
266,,128
267,,111
268,,107
269,,95
270,,79
271,,79
272,,82
273,,82
274,,67
275,,71
276,,54
277,,53
278,,49
279,,60
280,,55
281,,44
282,,36
283,,56
284,,48
285,,57
286,,46
287,,56
288,,53
289,,38
290,,46
291,,47
292,,44
293,,54
294,,41
295,,47
296,,42
297,,37
298,,33
299,,41
300,,43
301,,51
302,,42
303,,35
304,,28
305,,44
306,,39
307,,40
308,,45
309,,39
310,,35
311,,46
312,,51
313,,45
314,,44
315,,43
316,,27
317,,46
318,,42
319,,37
320,,50
321,,32
322,,46
323,,42
324,,47
325,,25
326,,35
327,,33
328,,50
329,,35
330,,34
331,,44
332,,34
333,,30
334,,43
335,,34
336,,44
337,,34
338,,37
339,,40
340,,33
341,,32
342,,41
343,,34
344,,31
345,,27
346,,42
347,,40
348,,29
349,,26
350,,49
351,,39
352,,40
353,,30
354,,24
355,,40
356,,38
357,,39
358,,29
359,,34
360,,32
361,,33
362,,34
363,,32
364,,36
365,,17
366,,32
367,,30
368,,37
369,,28
370,,27
371,,45
372,,31
