Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,700
Conversion Gain:,2048
Coarse Gain:,2
Fine Gain:,1.10
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,301.97
Elapsed Live Time:,300.68
Start Time:,October 06, 2023, 12:45:52
End Time:,October 06, 2023, 12:50:54
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,18
28,,49
29,,47
30,,46
31,,46
32,,34
33,,40
34,,38
35,,46
36,,37
37,,52
38,,37
39,,44
40,,63
41,,68
42,,66
43,,55
44,,74
45,,84
46,,78
47,,81
48,,100
49,,100
50,,104
51,,113
52,,130
53,,151
54,,121
55,,133
56,,142
57,,122
58,,128
59,,159
60,,111
61,,119
62,,135
63,,116
64,,117
65,,113
66,,115
67,,109
68,,95
69,,100
70,,102
71,,100
72,,88
73,,90
74,,116
75,,107
76,,110
77,,110
78,,91
79,,87
80,,106
81,,91
82,,94
83,,97
84,,98
85,,95
86,,119
87,,103
88,,101
89,,96
90,,110
91,,89
92,,102
93,,105
94,,116
95,,111
96,,109
97,,89
98,,112
99,,124
100,,113
101,,87
102,,110
103,,102
104,,118
105,,123
106,,99
107,,134
108,,108
109,,106
110,,98
111,,114
112,,114
113,,136
114,,111
115,,109
116,,146
117,,139
118,,108
119,,131
120,,136
121,,125
122,,160
123,,135
124,,145
125,,172
126,,164
127,,155
128,,178
129,,155
130,,199
131,,185
132,,197
133,,196
134,,185
135,,214
136,,195
137,,211
138,,217
139,,231
140,,213
141,,219
142,,230
143,,190
144,,208
145,,219
146,,182
147,,196
148,,199
149,,182
150,,196
151,,191
152,,179
153,,174
154,,174
155,,190
156,,180
157,,173
158,,182
159,,141
160,,169
161,,155
162,,146
163,,157
164,,134
165,,164
166,,146
167,,160
168,,184
169,,132
170,,155
171,,124
172,,139
173,,141
174,,134
175,,143
176,,143
177,,166
178,,125
179,,126
180,,138
181,,129
182,,131
183,,141
184,,118
185,,145
186,,126
187,,147
188,,119
189,,119
190,,137
191,,126
192,,152
193,,128
194,,117
195,,111
196,,99
197,,150
198,,136
199,,119
200,,130
201,,128
202,,125
203,,143
204,,147
205,,130
206,,138
207,,128
208,,146
209,,148
210,,130
211,,147
212,,128
213,,129
214,,125
215,,130
216,,113
217,,120
218,,151
219,,124
220,,137
221,,148
222,,140
223,,122
224,,114
225,,117
226,,124
227,,110
228,,126
229,,133
230,,124
231,,130
232,,111
233,,111
234,,136
235,,120
236,,145
237,,131
238,,144
239,,122
240,,149
241,,142
242,,136
243,,129
244,,113
245,,126
246,,137
247,,117
248,,124
249,,121
250,,115
251,,125
252,,114
253,,126
254,,145
255,,97
256,,127
257,,142
258,,130
259,,118
260,,130
261,,123
262,,116
263,,131
264,,127
265,,133
266,,120
267,,125
268,,132
269,,110
270,,108
271,,122
272,,115
273,,122
274,,127
275,,129
276,,123
277,,131
278,,123
279,,120
280,,113
281,,141
282,,122
283,,117
284,,136
285,,126
286,,122
287,,123
288,,123
289,,130
290,,108
291,,119
292,,112
293,,116
294,,140
295,,120
296,,137
297,,120
298,,110
299,,136
300,,132
301,,130
302,,114
303,,113
304,,118
305,,134
306,,126
307,,120
308,,129
309,,140
310,,126
311,,140
312,,146
313,,131
314,,124
315,,167
316,,125
317,,136
318,,162
319,,165
320,,129
321,,129
322,,141
323,,135
324,,158
325,,136
326,,120
327,,119
328,,116
329,,126
330,,162
331,,144
332,,131
333,,152
334,,145
335,,132
336,,118
337,,135
338,,135
339,,149
340,,133
341,,107
342,,143
343,,114
344,,168
345,,122
346,,143
347,,139
348,,142
349,,119
350,,140
351,,122
352,,130
353,,145
354,,129
355,,144
356,,124
357,,110
358,,135
359,,140
360,,153
361,,114
362,,134
363,,132
364,,145
365,,119
366,,144
367,,118
368,,133
369,,146
370,,125
371,,133
372,,139
373,,121
374,,134
375,,121
