Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,700
Conversion Gain:,2048
Coarse Gain:,2
Fine Gain:,1.10
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,300.94
Elapsed Live Time:,299.47
Start Time:,October 06, 2023, 12:57:30
End Time:,October 06, 2023, 01:02:32
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,1
10,,0
11,,0
12,,0
13,,0
14,,0
15,,1
16,,0
17,,0
18,,0
19,,0
20,,0
21,,0
22,,0
23,,1
24,,0
25,,0
26,,2
27,,2433
28,,5171
29,,4519
30,,4389
31,,4555
32,,4686
33,,4918
34,,4931
35,,5016
36,,5065
37,,5128
38,,4978
39,,4943
40,,4479
41,,4325
42,,4171
43,,3626
44,,3123
45,,2703
46,,2292
47,,1794
48,,1498
49,,1142
50,,865
51,,630
52,,448
53,,323
54,,228
55,,147
56,,107
57,,70
58,,49
59,,26
60,,42
61,,54
62,,45
63,,39
64,,41
65,,41
66,,45
67,,26
68,,48
69,,30
70,,33
71,,29
72,,28
73,,39
74,,25
75,,34
76,,27
77,,38
78,,31
79,,39
80,,33
81,,33
82,,47
83,,35
84,,23
85,,37
86,,34
87,,44
88,,37
89,,42
90,,46
91,,35
92,,39
93,,37
94,,53
95,,46
96,,44
97,,54
98,,41
99,,50
100,,69
101,,66
102,,56
103,,74
104,,65
105,,57
106,,85
107,,71
108,,65
109,,71
110,,57
111,,69
112,,65
113,,57
114,,58
115,,60
116,,66
117,,71
118,,77
119,,69
120,,71
121,,73
122,,81
123,,95
124,,103
125,,94
126,,91
127,,93
128,,93
129,,102
130,,109
131,,104
132,,121
133,,115
134,,94
135,,125
136,,107
137,,117
138,,115
139,,118
140,,119
141,,118
142,,129
143,,147
144,,119
145,,114
146,,122
147,,136
148,,156
149,,176
150,,160
151,,168
152,,157
153,,210
154,,197
155,,242
156,,237
157,,264
158,,317
159,,291
160,,315
161,,338
162,,391
163,,415
164,,446
165,,430
166,,447
167,,417
168,,417
169,,376
170,,396
171,,420
172,,383
173,,364
174,,310
175,,257
176,,258
177,,245
178,,187
179,,173
180,,168
181,,160
182,,138
183,,110
184,,106
185,,100
186,,82
187,,87
188,,87
189,,75
190,,81
191,,70
192,,67
193,,56
194,,46
195,,68
196,,61
197,,56
198,,65
199,,65
200,,56
201,,70
202,,78
203,,60
204,,68
205,,70
206,,71
207,,58
208,,57
209,,54
210,,46
211,,65
212,,54
213,,83
214,,62
215,,56
216,,55
217,,54
218,,70
219,,68
220,,55
221,,62
222,,65
223,,63
224,,58
225,,60
226,,63
227,,61
228,,60
229,,63
230,,54
231,,52
232,,66
233,,67
234,,52
235,,59
236,,60
237,,48
238,,46
239,,53
240,,54
241,,48
242,,56
243,,61
244,,51
245,,49
246,,51
247,,36
248,,57
249,,41
250,,67
251,,65
252,,47
253,,53
254,,53
255,,58
256,,49
257,,52
258,,46
259,,57
260,,64
261,,67
262,,49
263,,40
264,,44
265,,41
266,,57
267,,55
268,,48
269,,51
270,,49
271,,47
272,,38
273,,38
274,,47
275,,54
276,,51
277,,42
278,,51
279,,38
280,,47
281,,54
282,,50
283,,47
284,,52
285,,47
286,,52
287,,51
288,,47
289,,48
290,,34
291,,46
292,,43
293,,45
294,,44
295,,35
296,,48
297,,49
298,,51
299,,50
300,,41
301,,31
302,,43
303,,39
304,,42
305,,54
306,,37
307,,40
308,,32
309,,42
310,,40
311,,38
312,,42
313,,37
314,,44
315,,38
316,,48
317,,40
318,,56
319,,36
320,,36
321,,32
322,,35
323,,44
324,,29
325,,32
326,,35
327,,29
328,,36
329,,42
330,,28
331,,50
332,,45
333,,38
334,,28
335,,36
336,,33
337,,39
338,,27
339,,39
340,,33
341,,26
342,,36
343,,31
344,,40
345,,38
346,,38
347,,29
348,,42
349,,32
350,,36
351,,30
352,,26
353,,36
354,,38
355,,44
356,,28
357,,36
358,,36
359,,27
360,,32
361,,34
362,,35
363,,28
364,,35
365,,39
366,,26
367,,36
368,,34
369,,32
370,,29
371,,26
