Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,700
Conversion Gain:,2048
Coarse Gain:,2
Fine Gain:,1.10
Upper Discriminator:,2096
Lower Discriminator:,27
Calibration Coefficients:Elapsed Real Time:,25.93
Elapsed Live Time:,25.7
Start Time:,October 06, 2023, 12:07:47
End Time:,October 06, 2023, 12:07:44
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,0
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,0
17,,1
18,,0
19,,0
20,,0
21,,0
22,,0
23,,0
24,,0
25,,0
26,,0
27,,0
28,,2
29,,5
30,,5
31,,5
32,,1
33,,9
34,,4
35,,7
36,,8
37,,3
38,,5
39,,6
40,,7
41,,7
42,,11
43,,8
44,,6
45,,13
46,,5
47,,8
48,,11
49,,5
50,,10
51,,6
52,,11
53,,9
54,,10
55,,11
56,,9
57,,11
58,,13
59,,9
60,,13
61,,9
62,,13
63,,21
64,,7
65,,11
66,,13
67,,10
68,,7
69,,10
70,,13
71,,6
72,,9
73,,11
74,,16
75,,6
76,,15
77,,10
78,,8
79,,13
80,,13
81,,15
82,,8
83,,12
84,,11
85,,14
86,,10
87,,8
88,,8
89,,9
90,,11
91,,11
92,,5
93,,14
94,,9
95,,15
96,,11
97,,18
98,,7
99,,8
100,,9
101,,14
102,,8
103,,9
104,,15
105,,12
106,,17
107,,16
108,,11
109,,9
110,,19
111,,13
112,,12
113,,10
114,,11
115,,17
116,,14
117,,15
118,,11
119,,15
120,,11
121,,15
122,,18
123,,11
124,,21
125,,27
126,,13
127,,22
128,,17
129,,19
130,,26
131,,21
132,,16
133,,23
134,,27
135,,20
136,,22
137,,21
138,,21
139,,28
140,,18
141,,21
142,,27
143,,21
144,,22
145,,24
146,,24
147,,22
148,,18
149,,20
150,,20
151,,24
152,,29
153,,13
154,,16
155,,18
156,,18
157,,21
158,,17
159,,20
160,,16
161,,11
162,,21
163,,17
164,,30
165,,15
166,,18
167,,19
168,,8
169,,19
170,,13
171,,20
172,,13
173,,10
174,,11
175,,12
176,,16
177,,13
178,,11
179,,7
180,,12
181,,13
182,,9
183,,11
184,,13
185,,7
186,,11
187,,14
188,,11
189,,14
190,,16
191,,17
192,,14
193,,12
194,,10
195,,19
196,,14
197,,5
198,,11
199,,16
200,,9
201,,8
202,,18
203,,22
204,,14
205,,13
206,,9
207,,15
208,,15
209,,12
210,,13
211,,18
212,,9
213,,11
214,,14
215,,13
216,,8
217,,14
218,,11
219,,9
220,,7
221,,11
222,,11
223,,18
224,,12
225,,15
226,,16
227,,9
228,,13
229,,14
230,,8
231,,7
232,,9
233,,14
234,,10
235,,12
236,,14
237,,11
238,,12
239,,11
240,,18
241,,13
242,,14
243,,11
244,,10
245,,11
246,,15
247,,17
248,,11
249,,15
250,,13
251,,11
252,,13
253,,18
254,,9
255,,10
256,,20
257,,16
258,,7
259,,14
260,,15
261,,15
262,,16
263,,11
264,,11
265,,13
266,,20
267,,9
268,,12
269,,19
270,,15
271,,11
272,,20
273,,16
274,,14
275,,14
276,,16
277,,16
278,,15
279,,15
280,,14
281,,14
282,,10
283,,23
284,,12
285,,15
286,,20
287,,13
288,,6
289,,10
290,,10
291,,14
292,,16
293,,18
294,,17
295,,12
296,,15
297,,13
298,,8
299,,22
300,,12
301,,10
302,,14
303,,6
304,,10
305,,14
306,,17
307,,16
308,,16
309,,12
310,,10
311,,15
312,,10
313,,15
314,,17
315,,9
316,,8
317,,14
318,,7
319,,9
320,,11
321,,9
322,,11
323,,7
324,,13
325,,9
326,,10
327,,11
328,,13
329,,7
330,,21
331,,13
332,,12
333,,13
334,,17
335,,15
336,,12
337,,12
338,,13
339,,15
340,,12
341,,15
342,,14
343,,15
344,,8
345,,10
346,,9
347,,11
348,,12
349,,14
350,,14
351,,11
352,,12
353,,10
354,,12
355,,14
356,,15
357,,16
358,,14
359,,12
360,,11
361,,18
362,,16
363,,14
364,,21
365,,16
366,,16
367,,12
368,,16
369,,14
370,,8
371,,15
372,,11
373,,14
374,,12
375,,14
