Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:,PHA Pre-Amp
High Voltage:,700
Conversion Gain:,2048
Coarse Gain:,2
Fine Gain:,1.10
Upper Discriminator:,2096
Lower Discriminator:,29
Calibration Coefficients:Elapsed Real Time:,625.02
Elapsed Live Time:,618.04
Start Time:,October 13, 2023, 10:41:46
End Time:,October 13, 2023, 10:52:11
ROIs:
ROI:,Low,High,Gross,Net,FWHM,Centroid


Channel Data:
Channel,Energy,Counts
0,,0
1,,0
2,,0
3,,0
4,,0
5,,0
6,,0
7,,0
8,,0
9,,1
10,,0
11,,0
12,,0
13,,0
14,,0
15,,0
16,,1
17,,0
18,,0
19,,0
20,,0
21,,0
22,,2
23,,0
24,,1
25,,0
26,,2
27,,0
28,,3
29,,2
30,,18
31,,115
32,,206
33,,249
34,,241
35,,265
36,,265
37,,297
38,,317
39,,311
40,,365
41,,395
42,,436
43,,481
44,,552
45,,654
46,,733
47,,870
48,,1069
49,,1290
50,,1672
51,,2084
52,,2569
53,,3129
54,,3924
55,,4756
56,,5234
57,,5877
58,,6300
59,,6144
60,,6066
61,,5736
62,,5180
63,,4623
64,,3966
65,,3388
66,,2925
67,,2509
68,,2193
69,,1944
70,,1738
71,,1460
72,,1307
73,,1126
74,,966
75,,859
76,,864
77,,745
78,,679
79,,609
80,,554
81,,581
82,,546
83,,536
84,,549
85,,541
86,,513
87,,552
88,,536
89,,497
90,,525
91,,505
92,,547
93,,487
94,,545
95,,528
96,,522
97,,492
98,,501
99,,520
100,,511
101,,543
102,,535
103,,519
104,,522
105,,500
106,,503
107,,493
108,,531
109,,523
110,,489
111,,530
112,,559
113,,530
114,,495
115,,610
116,,572
117,,579
118,,576
119,,601
120,,572
121,,653
122,,616
123,,628
124,,669
125,,645
126,,604
127,,671
128,,690
129,,762
130,,804
131,,752
132,,781
133,,803
134,,882
135,,834
136,,869
137,,879
138,,872
139,,873
140,,915
141,,949
142,,911
143,,938
144,,914
145,,897
146,,888
147,,897
148,,886
149,,849
150,,854
151,,819
152,,829
153,,859
154,,802
155,,773
156,,795
157,,818
158,,755
159,,752
160,,762
161,,763
162,,743
163,,761
164,,648
165,,674
166,,657
167,,630
168,,668
169,,624
170,,604
171,,591
172,,638
173,,579
174,,537
175,,555
176,,523
177,,575
178,,532
179,,514
180,,534
181,,535
182,,543
183,,523
184,,518
185,,581
186,,517
187,,527
188,,492
189,,504
190,,512
191,,517
192,,513
193,,530
194,,549
195,,472
196,,497
197,,525
198,,528
199,,507
200,,480
201,,514
202,,550
203,,526
204,,525
205,,558
206,,529
207,,545
208,,539
209,,537
210,,521
211,,515
212,,518
213,,592
214,,555
215,,551
216,,552
217,,518
218,,513
219,,520
220,,498
221,,555
222,,562
223,,548
224,,556
225,,521
226,,547
227,,555
228,,510
229,,545
230,,550
231,,527
232,,547
233,,508
234,,532
235,,505
236,,515
237,,565
238,,535
239,,518
240,,548
241,,553
242,,519
243,,557
244,,577
245,,468
246,,525
247,,525
248,,513
249,,506
250,,538
251,,548
252,,519
253,,542
254,,479
255,,525
256,,547
257,,500
258,,526
259,,513
260,,561
261,,508
262,,504
263,,530
264,,477
265,,541
266,,516
267,,513
268,,511
269,,515
270,,533
271,,531
272,,505
273,,547
274,,531
275,,496
276,,536
277,,502
278,,531
279,,497
280,,515
281,,469
282,,512
283,,546
284,,471
285,,508
286,,538
287,,524
288,,528
289,,508
290,,505
291,,537
292,,503
293,,574
294,,486
295,,557
296,,516
297,,483
298,,499
299,,502
300,,511
301,,524
302,,500
303,,507
304,,523
305,,488
306,,482
307,,525
308,,545
309,,517
310,,563
311,,538
312,,540
313,,495
314,,513
315,,526
316,,515
317,,494
318,,524
319,,538
320,,558
321,,551
322,,539
323,,556
324,,568
325,,545
326,,585
327,,572
328,,602
329,,596
330,,612
331,,611
332,,653
333,,630
334,,638
335,,621
336,,619
337,,624
338,,599
339,,642
340,,680
341,,691
342,,623
343,,659
344,,676
345,,657
346,,678
347,,664
348,,695
349,,660
350,,693
351,,646
352,,674
353,,643
354,,660
355,,710
356,,697
357,,733
358,,659
359,,681
360,,656
361,,667
362,,718
363,,688
364,,591
365,,654
366,,659
367,,637
368,,637
369,,640
370,,668
